N,i,center,point,box
16,0,0.03125,0.14644660940672627,0.3938967046054031
16,1,0.09375,0.85355339059327384,0.60610329539459695
16,2,0.15625,0.85355339059327329,0.60610329539459673
16,3,0.21875,0.14644660940672632,0.3938967046054031
16,4,0.28125,0.14644660940672682,0.39389670460540327
16,5,0.34375,0.85355339059327373,0.60610329539459695
16,6,0.40625,0.85355339059327306,0.60610329539459673
16,7,0.46875,0.14644660940672605,0.39389670460540305
16,8,0.53125,0.1464466094067271,0.39389670460540338
16,9,0.59375,0.85355339059327529,0.6061032953945974
16,10,0.65625,0.85355339059327395,0.60610329539459695
16,11,0.71875,0.14644660940672583,0.39389670460540299
16,12,0.78125,0.14644660940672738,0.39389670460540344
16,13,0.84375,0.85355339059327551,0.6061032953945974
16,14,0.90625,0.85355339059327129,0.60610329539459618
16,15,0.96875,0.14644660940672305,0.39389670460540216
32,0,0.015625,0.69134171618254492,0.65005271935951769
32,1,0.046875,0.038060233744356575,0.13774068985128848
32,2,0.078125,0.96193976625564326,0.86225931014871138
32,3,0.109375,0.30865828381745508,0.34994728064048225
32,4,0.140625,0.30865828381745475,0.34994728064048203
32,5,0.171875,0.96193976625564337,0.86225931014871149
32,6,0.203125,0.038060233744356797,0.13774068985128865
32,7,0.234375,0.69134171618254481,0.65005271935951758
32,8,0.265625,0.69134171618254547,0.65005271935951814
32,9,0.296875,0.038060233744356187,0.13774068985128818
32,10,0.328125,0.96193976625564348,0.86225931014871149
32,11,0.359375,0.30865828381745541,0.34994728064048253
32,12,0.390625,0.30865828381745442,0.34994728064048175
32,13,0.421875,0.96193976625564392,0.86225931014871182
32,14,0.453125,0.038060233744357297,0.13774068985128904
32,15,0.484375,0.69134171618254281,0.65005271935951603
32,16,0.515625,0.69134171618254414,0.65005271935951714
32,17,0.546875,0.038060233744356742,0.13774068985128859
32,18,0.578125,0.96193976625564326,0.86225931014871149
32,19,0.609375,0.30865828381745575,0.34994728064048281
32,20,0.640625,0.30865828381745403,0.34994728064048147
32,21,0.671875,0.96193976625564404,0.86225931014871204
32,22,0.703125,0.038060233744357463,0.13774068985128918
32,23,0.734375,0.69134171618254248,0.65005271935951581
32,24,0.765625,0.69134171618254447,0.65005271935951736
32,25,0.796875,0.038060233744356575,0.13774068985128848
32,26,0.828125,0.96193976625564315,0.86225931014871127
32,27,0.859375,0.30865828381745936,0.34994728064048564
32,28,0.890625,0.30865828381745369,0.3499472806404812
32,29,0.921875,0.96193976625564281,0.86225931014871104
