| a | b | op | y | zero | carry |
| --- | --- | --- | --- | --- | --- |
| 0x3 | 0x5 | ADD | 0x8 | 0 | 0 |
| 0x3 | 0x5 | SUB | 0xE | 0 | 0 |
| 0x3 | 0x5 | AND | 0x1 | 0 | 0 |
| 0x3 | 0x5 | OR | 0x7 | 0 | 0 |
| 0x3 | 0x5 | SLT | 0x1 | 0 | 0 |
| 0x7 | 0x1 | ADD | 0x8 | 0 | 0 |
| 0x7 | 0x1 | SUB | 0x6 | 0 | 1 |
| 0x7 | 0x1 | AND | 0x1 | 0 | 0 |
| 0x7 | 0x1 | OR | 0x7 | 0 | 0 |
| 0x7 | 0x1 | SLT | 0x0 | 1 | 0 |
| 0x8 | 0x1 | ADD | 0x9 | 0 | 0 |
| 0x8 | 0x1 | SUB | 0x7 | 0 | 1 |
| 0x8 | 0x1 | AND | 0x0 | 1 | 0 |
| 0x8 | 0x1 | OR | 0x9 | 0 | 0 |
| 0x8 | 0x1 | SLT | 0x1 | 0 | 0 |
| 0xF | 0x1 | ADD | 0x0 | 1 | 1 |
| 0xF | 0x1 | SUB | 0xE | 0 | 1 |
| 0xF | 0x1 | AND | 0x1 | 0 | 0 |
| 0xF | 0x1 | OR | 0xF | 0 | 0 |
| 0xF | 0x1 | SLT | 0x1 | 0 | 0 |
| 0xA | 0x6 | ADD | 0x0 | 1 | 1 |
| 0xA | 0x6 | SUB | 0x4 | 0 | 1 |
| 0xA | 0x6 | AND | 0x2 | 0 | 0 |
| 0xA | 0x6 | OR | 0xE | 0 | 0 |
| 0xA | 0x6 | SLT | 0x1 | 0 | 0 |
