| inst | PCSel | ImmSel | BrUn | ASel | BSel | ALUSel | MemRW | RegWEn | WBSel |
| --- | --- | --- | --- | --- | --- | --- | --- | --- | --- |
| add | +4 | - | - | Reg | Reg | ADD | Read | 1 | ALU |
| sub | +4 | - | - | Reg | Reg | SUB | Read | 1 | ALU |
| and | +4 | - | - | Reg | Reg | AND | Read | 1 | ALU |
| or | +4 | - | - | Reg | Reg | OR | Read | 1 | ALU |
| addi | +4 | I | - | Reg | Imm | ADD | Read | 1 | ALU |
| andi | +4 | I | - | Reg | Imm | AND | Read | 1 | ALU |
| ori | +4 | I | - | Reg | Imm | OR | Read | 1 | ALU |
| lw | +4 | I | - | Reg | Imm | ADD | Read | 1 | Mem |
| sw | +4 | S | - | Reg | Imm | ADD | Write | 0 | - |
| beq taken | ALU | B | - | PC | Imm | ADD | Read | 0 | - |
| beq not taken | +4 | B | - | PC | Imm | ADD | Read | 0 | - |
| bne taken | ALU | B | - | PC | Imm | ADD | Read | 0 | - |
| blt taken | ALU | B | 0 | PC | Imm | ADD | Read | 0 | - |
| bge taken | ALU | B | 0 | PC | Imm | ADD | Read | 0 | - |
