| cycle | IF | ID | EX | MEM | WB | action |
|---:|---|---|---|---|---|---|
| 1 | 0@0:addi | - | - | - | - |  |
| 2 | 1@4:addi | 0@0:addi | - | - | - |  |
| 3 | 2@8:addi | 1@4:addi | 0@0:addi | - | - |  |
| 4 | 3@12:addi | 2@8:addi | 1@4:addi | 0@0:addi | - |  |
| 5 | 4@16:addi | 3@12:addi | 2@8:addi | 1@4:addi | 0@0:addi |  |
| 6 | 5@20:addi | 4@16:addi | 3@12:addi | 2@8:addi | 1@4:addi |  |
| 7 | - | 5@20:addi | 4@16:addi | 3@12:addi | 2@8:addi |  |
| 8 | - | - | 5@20:addi | 4@16:addi | 3@12:addi |  |
| 9 | - | - | - | 5@20:addi | 4@16:addi |  |
| 10 | - | - | - | - | 5@20:addi |  |
