| cycle | IF | ID | EX | MEM | WB | action |
|---:|---|---|---|---|---|---|
| 1 | 0@0:addi | - | - | - | - |  |
| 2 | 1@4:addi | 0@0:addi | - | - | - |  |
| 3 | 2@8:addi | 1@4:addi | 0@0:addi | - | - |  |
| 4 | 3@12:lw | 2@8:addi | 1@4:addi | 0@0:addi | - |  |
| 5 | 4@16:add | 3@12:lw | 2@8:addi | 1@4:addi | 0@0:addi |  |
| 6 | - | 4@16:add | 3@12:lw | 2@8:addi | 1@4:addi | load_use |
| 7 | 5@20:addi | 4@16:add | - | 3@12:lw | 2@8:addi |  |
| 8 | 6@24:addi | 5@20:addi | 4@16:add | - | 3@12:lw |  |
| 9 | 7@28:bne | 6@24:addi | 5@20:addi | 4@16:add | - |  |
| 10 | 8@32:sw | 7@28:bne | 6@24:addi | 5@20:addi | 4@16:add |  |
| 11 | - | 8@32:sw | 7@28:bne | 6@24:addi | 5@20:addi | redirect; cancel ID and IF |
| 12 | 9@12:lw | - | - | 7@28:bne | 6@24:addi |  |
| 13 | 10@16:add | 9@12:lw | - | - | 7@28:bne |  |
| 14 | - | 10@16:add | 9@12:lw | - | - | load_use |
| 15 | 11@20:addi | 10@16:add | - | 9@12:lw | - |  |
| 16 | 12@24:addi | 11@20:addi | 10@16:add | - | 9@12:lw |  |
| 17 | 13@28:bne | 12@24:addi | 11@20:addi | 10@16:add | - |  |
| 18 | 14@32:sw | 13@28:bne | 12@24:addi | 11@20:addi | 10@16:add |  |
| 19 | - | 14@32:sw | 13@28:bne | 12@24:addi | 11@20:addi | redirect; cancel ID and IF |
| 20 | 15@12:lw | - | - | 13@28:bne | 12@24:addi |  |
| 21 | 16@16:add | 15@12:lw | - | - | 13@28:bne |  |
| 22 | - | 16@16:add | 15@12:lw | - | - | load_use |
| 23 | 17@20:addi | 16@16:add | - | 15@12:lw | - |  |
| 24 | 18@24:addi | 17@20:addi | 16@16:add | - | 15@12:lw |  |
| 25 | 19@28:bne | 18@24:addi | 17@20:addi | 16@16:add | - |  |
| 26 | 20@32:sw | 19@28:bne | 18@24:addi | 17@20:addi | 16@16:add |  |
| 27 | - | 20@32:sw | 19@28:bne | 18@24:addi | 17@20:addi | redirect; cancel ID and IF |
| 28 | 21@12:lw | - | - | 19@28:bne | 18@24:addi |  |
| 29 | 22@16:add | 21@12:lw | - | - | 19@28:bne |  |
| 30 | - | 22@16:add | 21@12:lw | - | - | load_use |
| 31 | 23@20:addi | 22@16:add | - | 21@12:lw | - |  |
| 32 | 24@24:addi | 23@20:addi | 22@16:add | - | 21@12:lw |  |
| 33 | 25@28:bne | 24@24:addi | 23@20:addi | 22@16:add | - |  |
| 34 | 26@32:sw | 25@28:bne | 24@24:addi | 23@20:addi | 22@16:add |  |
| 35 | - | 26@32:sw | 25@28:bne | 24@24:addi | 23@20:addi | redirect; cancel ID and IF |
| 36 | 27@12:lw | - | - | 25@28:bne | 24@24:addi |  |
| 37 | 28@16:add | 27@12:lw | - | - | 25@28:bne |  |
| 38 | - | 28@16:add | 27@12:lw | - | - | load_use |
| 39 | 29@20:addi | 28@16:add | - | 27@12:lw | - |  |
| 40 | 30@24:addi | 29@20:addi | 28@16:add | - | 27@12:lw |  |
| 41 | 31@28:bne | 30@24:addi | 29@20:addi | 28@16:add | - |  |
| 42 | 32@32:sw | 31@28:bne | 30@24:addi | 29@20:addi | 28@16:add |  |
| 43 | - | 32@32:sw | 31@28:bne | 30@24:addi | 29@20:addi |  |
| 44 | - | - | 32@32:sw | 31@28:bne | 30@24:addi |  |
| 45 | - | - | - | 32@32:sw | 31@28:bne |  |
| 46 | - | - | - | - | 32@32:sw |  |
