method,N,seed,estimate
uniform,64,1,0.34979353051466822
importance,64,1,0.33515011905021364
missing_half,64,1,0.043724191314333527
uniform,64,2,0.23989467671956025
importance,64,2,0.31017347374540527
missing_half,64,2,0.029986834589945031
uniform,64,3,0.2824370530267668
importance,64,3,0.31520025864498208
missing_half,64,3,0.035304631628345851
uniform,64,4,0.39552303737997868
importance,64,4,0.34310689654718374
missing_half,64,4,0.049440379672497335
uniform,64,5,0.33198710814254906
importance,64,5,0.32805828728630404
missing_half,64,5,0.041498388517818632
uniform,64,6,0.36267069264375451
importance,64,6,0.35080945672993052
missing_half,64,6,0.045333836580469314
uniform,64,7,0.31427755074627689
importance,64,7,0.33129371946815916
missing_half,64,7,0.039284693843284611
uniform,64,8,0.30765101087604874
importance,64,8,0.32368145950335031
missing_half,64,8,0.038456376359506092
uniform,64,9,0.33816975415353179
importance,64,9,0.32844109399303828
missing_half,64,9,0.042271219269191473
uniform,64,10,0.30626307760373028
importance,64,10,0.32371455021830436
missing_half,64,10,0.038282884700466285
uniform,64,11,0.34362205809865537
importance,64,11,0.3260572595604932
missing_half,64,11,0.042952757262331921
uniform,64,12,0.33605156382692497
importance,64,12,0.32504876868729299
missing_half,64,12,0.042006445478365621
uniform,64,13,0.37469319290371256
importance,64,13,0.34664219330708174
missing_half,64,13,0.04683664911296407
uniform,64,14,0.31239028676711605
importance,64,14,0.32204248902706351
missing_half,64,14,0.039048785845889507
uniform,64,15,0.31173330904019214
importance,64,15,0.32293422895144808
missing_half,64,15,0.038966663630024018
uniform,64,16,0.26368652050820895
importance,64,16,0.3124494276656164
missing_half,64,16,0.032960815063526119
uniform,64,17,0.26543988084777509
importance,64,17,0.30836579156883021
missing_half,64,17,0.033179985105971886
uniform,64,18,0.35944382747720161
importance,64,18,0.3472113368401023
missing_half,64,18,0.044930478434650201
uniform,64,19,0.33259494531577483
importance,64,19,0.33818251143108335
missing_half,64,19,0.041574368164471853
uniform,64,20,0.41624906000021961
importance,64,20,0.36431165737637333
missing_half,64,20,0.052031132500027451
uniform,64,21,0.31899738917525272
importance,64,21,0.32839195075604721
missing_half,64,21,0.03987467364690659
uniform,64,22,0.39344073829255283
importance,64,22,0.34536409271099039
missing_half,64,22,0.049180092286569103
uniform,64,23,0.35860207999811028
importance,64,23,0.34136854444703812
missing_half,64,23,0.044825259999763785
uniform,64,24,0.39891950917470831
importance,64,24,0.36359482875043847
missing_half,64,24,0.049864938646838539
uniform,64,25,0.28377704528239311
importance,64,25,0.32890246016658126
missing_half,64,25,0.035472130660299139
uniform,64,26,0.36587773918558025
importance,64,26,0.35325976293398925
missing_half,64,26,0.045734717398197532
uniform,64,27,0.33174506324216918
importance,64,27,0.33023604959282243
