method,N,repeats,mean,variance,theory_variance,mse_to_full_integral
uniform,64,256,0.33291608407251205,0.0014586803389571837,0.0013888888888888889,0.0014531564658287902
importance,64,256,0.33292751661812175,0.00020228877802267126,0.00021701388888888888,0.00020166327468986537
missing_half,64,256,0.041614510509064007,2.2791880296205995e-05,2.170138888888889e-05,0.085122574439491297
uniform,256,256,0.33406301854803622,0.0003691249122678862,0.00034722222222222224,0.00036821545859189631
importance,256,256,0.33331751021836625,5.7922695853286558e-05,5.4253472222222219e-05,5.7696685693577138e-05
missing_half,256,256,0.041757877318504527,5.7675767541857219e-06,5.4253472222222224e-06,0.085021991597412749
uniform,1024,256,0.33407418620103391,9.6260469931051432e-05,8.6805555555555559e-05,9.6433315441963474e-05
importance,1024,256,0.33340335264605131,1.5278929839629245e-05,1.3563368055555555e-05,1.5224149224096693e-05
missing_half,1024,256,0.041759273275129238,1.5040698426726786e-06,1.3563368055555556e-06,0.085016930693395137
uniform,4096,256,0.33371895298454679,2.3052959320841964e-05,2.170138888888889e-05,2.311161121389707e-05
importance,4096,256,0.33343119457016035,3.6415349891167804e-06,3.3908420138888887e-06,3.6368870647388384e-06
missing_half,4096,256,0.041714869123068349,3.6020248938815569e-07,3.390842013888889e-07,0.085041687463802015
