method,seed,N,estimate,reference
bsdf,1,131072,0.117828369140625,0.11979532145382539
light,1,131072,0.11979447323796938,0.11979532145382539
mis,1,131072,0.11979612145818586,0.11979532145382539
double_count,1,131072,0.23107865010319578,0.11979532145382539
bsdf,2,131072,0.117431640625,0.11979532145382539
light,2,131072,0.11979401209221749,0.11979532145382539
mis,2,131072,0.11979457404935621,0.11979532145382539
double_count,2,131072,0.24377214671934716,0.11979532145382539
bsdf,3,131072,0.1176300048828125,0.11979532145382539
light,3,131072,0.11979351572329884,0.11979532145382539
mis,3,131072,0.11979473423195178,0.11979532145382539
double_count,3,131072,0.23325922367879914,0.11979532145382539
bsdf,4,131072,0.113861083984375,0.11979532145382539
light,4,131072,0.11979282978748235,0.11979532145382539
mis,4,131072,0.11979501471347498,0.11979532145382539
double_count,4,131072,0.23405294513936681,0.11979532145382539
bsdf,5,131072,0.11505126953125,0.11979532145382539
light,5,131072,0.11979602825296318,0.11979532145382539
mis,5,131072,0.11979499995670681,0.11979532145382539
double_count,5,131072,0.23385457073220617,0.11979532145382539
bsdf,6,131072,0.1190185546875,0.11979532145382539
light,6,131072,0.11979524692983524,0.11979532145382539
mis,6,131072,0.11979590915341728,0.11979532145382539
double_count,6,131072,0.24178988136240251,0.11979532145382539
bsdf,7,131072,0.12060546875,0.11979532145382539
light,7,131072,0.11979486153268444,0.11979532145382539
mis,7,131072,0.11979466546211846,0.11979532145382539
double_count,7,131072,0.23524275403105377,0.11979532145382539
bsdf,8,131072,0.1094970703125,0.11979532145382539
light,8,131072,0.11979530042168417,0.11979532145382539
mis,8,131072,0.11979531027852389,0.11979532145382539
double_count,8,131072,0.23504503973250934,0.11979532145382539
