method,seed,N,budget_ms,elapsed_ms,estimate,reference
bsdf,1,551424,200,200.035459,0.11768802228412256,0.11979532145382539
light,1,628480,200,200.04829100000001,0.11979538696445899,0.11979532145382539
mis,1,262144,200,200.081625,0.11979605668559795,0.11979532145382539
light,2,590848,200,200.06741700000001,0.11979462472370885,0.11979532145382539
mis,2,283392,200,200.03141600000001,0.11979491273728332,0.11979532145382539
bsdf,2,541440,200,200.00791599999999,0.11736111111111111,0.11979532145382539
mis,3,296960,200,200.060709,0.11979549507930139,0.11979532145382539
bsdf,3,542208,200,200.092083,0.11604402738432483,0.11979532145382539
light,3,617216,200,200.00595799999999,0.11979534191868264,0.11979532145382539
bsdf,4,547584,200,200.00004200000001,0.11742125409069659,0.11979532145382539
light,4,620032,200,200.069875,0.11979455842887735,0.11979532145382539
mis,4,284160,200,200.03566599999999,0.11979439551994391,0.11979532145382539
light,5,610304,200,200.07037500000001,0.11979570497162538,0.11979532145382539
mis,5,286464,200,200.14866699999999,0.11979551742455859,0.11979532145382539
bsdf,5,553472,200,200.03704200000001,0.11776928191489362,0.11979532145382539
mis,6,276736,200,200.03845899999999,0.11979577509753252,0.11979532145382539
bsdf,6,535552,200,200.00200000000001,0.11792318953154876,0.11979532145382539
light,6,572928,200,200.03704200000001,0.11979577351777476,0.11979532145382539
bsdf,7,546560,200,200.00241700000001,0.11878293325526933,0.11979532145382539
light,7,642304,200,200.05141699999999,0.11979562907806805,0.11979532145382539
mis,7,296448,200,200.01737499999999,0.11979515609058088,0.11979532145382539
light,8,605184,200,200.016167,0.11979449792900923,0.11979532145382539
mis,8,271616,200,200.14833300000001,0.11979483627851763,0.11979532145382539
bsdf,8,496128,200,200.07495900000001,0.12053341073271413,0.11979532145382539
