alpha,degrees,channel,grid,energy
0.14999999999999999,0,0,256,0.92458977352243887
0.14999999999999999,0,0,512,0.92502648906191332
0.14999999999999999,0,1,256,0.61663292397834379
0.14999999999999999,0,1,512,0.61692418397488424
0.14999999999999999,0,2,256,0.35739187335114536
0.14999999999999999,0,2,512,0.35756058162720666
0.14999999999999999,0,3,256,0.97130669263256186
0.14999999999999999,0,3,512,0.97176545004581194
0.14999999999999999,45,0,256,0.90929349638580981
0.14999999999999999,45,0,512,0.90929112838996817
0.14999999999999999,45,1,256,0.60745161419837834
0.14999999999999999,45,1,512,0.60745002684801341
0.14999999999999999,45,2,256,0.36118996690769506
0.14999999999999999,45,2,512,0.36118901888982452
0.14999999999999999,45,3,256,0.95721985108508523
0.14999999999999999,45,3,512,0.9572173584053123
0.14999999999999999,75,0,256,0.83469207119819677
0.14999999999999999,75,0,512,0.83468913731998207
0.14999999999999999,75,1,256,0.59203307302244779
0.14999999999999999,75,1,512,0.59203073119488103
0.14999999999999999,75,2,256,0.40984816419841102
0.14999999999999999,75,2,512,0.40984627853177447
0.14999999999999999,75,3,256,0.88386076814552905
0.14999999999999999,75,3,512,0.88385769147575977
0.34999999999999998,0,0,256,0.7935243180529955
0.34999999999999998,0,0,512,0.79353719884907159
0.34999999999999998,0,1,256,0.52921215769401964
0.34999999999999998,0,1,512,0.52922074807073405
0.34999999999999998,0,2,256,0.30711941524819975
0.34999999999999998,0,2,512,0.30712438648974422
0.34999999999999998,0,3,256,0.83371225557445106
0.34999999999999998,0,3,512,0.83372578544308673
0.34999999999999998,45,0,256,0.76369295272561588
0.34999999999999998,45,0,512,0.76369158051481312
0.34999999999999998,45,1,256,0.51025909641406797
0.34999999999999998,45,1,512,0.51025817120394523
0.34999999999999998,45,2,256,0.30252775933420789
0.34999999999999998,45,2,512,0.30252718529325262
0.34999999999999998,45,3,256,0.80372551874650966
0.34999999999999998,45,3,512,0.80372407023079417
0.34999999999999998,75,0,256,0.76577958775461563
0.34999999999999998,75,0,512,0.76577772731674931
0.34999999999999998,75,1,256,0.52529327921664337
0.34999999999999998,75,1,512,0.52529188140540317
0.34999999999999998,75,2,256,0.33751989144685651
0.34999999999999998,75,2,512,0.33751884418814077
0.34999999999999998,75,3,256,0.80889409383112376
0.34999999999999998,75,3,512,0.80889213480901256
0.69999999999999996,0,0,256,0.47937913702504348
0.69999999999999996,0,0,512,0.47937916125678254
0.69999999999999996,0,1,256,0.31970115697998147
0.69999999999999996,0,1,512,0.31970117285226962
0.69999999999999996,0,2,256,0.18578944132142722
0.69999999999999996,0,2,512,0.18578944519699148
0.69999999999999996,0,3,256,0.50371742005245268
0.69999999999999996,0,3,512,0.5037174443016359
0.69999999999999996,45,0,256,0.51467300813442696
0.69999999999999996,45,0,512,0.51467265425272912
0.69999999999999996,45,1,256,0.34366061161444789
0.69999999999999996,45,1,512,0.34366036970543729
0.69999999999999996,45,2,256,0.20232195307385811
0.69999999999999996,45,2,512,0.20232179019298141
0.69999999999999996,45,3,256,0.54134941736833619
0.69999999999999996,45,3,512,0.54134904136845741
0.69999999999999996,75,0,256,0.65664820065294827
0.69999999999999996,75,0,512,0.6566469292141407
0.69999999999999996,75,1,256,0.44316109504213808
0.69999999999999996,75,1,512,0.4431601830210451
0.69999999999999996,75,2,256,0.2713882935646888
0.69999999999999996,75,2,512,0.27138765335887399
0.69999999999999996,75,3,256,0.69211122308618878
0.69999999999999996,75,3,512,0.69210988029286225
