eta_i,eta_t,degrees,F,mean_frequency,standard_error
1.0,1.5,0.0,0.04000000000000001,0.04009819030761719,0.00029105397329045885
1.0,1.5,30.0,0.04152262597582152,0.04163169860839844,0.00026774310895659334
1.0,1.5,40.0,0.04573364331839599,0.04595947265625,0.0003349121714423823
1.0,1.5,42.0,0.04726656724998122,0.04759979248046875,0.00038298170990506503
1.0,1.5,60.0,0.08918671280221274,0.08962059020996094,0.00035166150427572905
1.0,1.5,80.0,0.3877043546914725,0.3884925842285156,0.0006399456168940162
1.5,1.0,0.0,0.04000000000000001,0.04009819030761719,0.00029105397329045885
1.5,1.0,30.0,0.055190167295375916,0.05555534362792969,0.00039981269392969386
1.5,1.0,40.0,0.24529120428690956,0.24614334106445312,0.0005565929601573325
1.5,1.0,42.0,1.0,1.0,0.0
1.5,1.0,60.0,1.0,1.0,0.0
1.5,1.0,80.0,1.0,1.0,0.0
