eta_i,eta_t,degrees,seed,N,reflections,F
1,1.5,0,1,65536,2654,0.040000000000000008
1,1.5,0,2,65536,2643,0.040000000000000008
1,1.5,0,3,65536,2594,0.040000000000000008
1,1.5,0,4,65536,2636,0.040000000000000008
1,1.5,0,5,65536,2577,0.040000000000000008
1,1.5,0,6,65536,2560,0.040000000000000008
1,1.5,0,7,65536,2626,0.040000000000000008
1,1.5,0,8,65536,2733,0.040000000000000008
1,1.5,30,1,65536,2740,0.041522625975821521
1,1.5,30,2,65536,2747,0.041522625975821521
1,1.5,30,3,65536,2677,0.041522625975821521
1,1.5,30,4,65536,2738,0.041522625975821521
1,1.5,30,5,65536,2687,0.041522625975821521
1,1.5,30,6,65536,2684,0.041522625975821521
1,1.5,30,7,65536,2724,0.041522625975821521
1,1.5,30,8,65536,2830,0.041522625975821521
1,1.5,40,1,65536,3016,0.045733643318395988
1,1.5,40,2,65536,3034,0.045733643318395988
1,1.5,40,3,65536,2934,0.045733643318395988
1,1.5,40,4,65536,3043,0.045733643318395988
1,1.5,40,5,65536,2964,0.045733643318395988
1,1.5,40,6,65536,2950,0.045733643318395988
1,1.5,40,7,65536,3029,0.045733643318395988
1,1.5,40,8,65536,3126,0.045733643318395988
1,1.5,42,1,65536,3125,0.047266567249981219
1,1.5,42,2,65536,3144,0.047266567249981219
1,1.5,42,3,65536,3029,0.047266567249981219
1,1.5,42,4,65536,3157,0.047266567249981219
1,1.5,42,5,65536,3056,0.047266567249981219
1,1.5,42,6,65536,3068,0.047266567249981219
1,1.5,42,7,65536,3122,0.047266567249981219
1,1.5,42,8,65536,3255,0.047266567249981219
1,1.5,60,1,65536,5894,0.089186712802212742
1,1.5,60,2,65536,5911,0.089186712802212742
1,1.5,60,3,65536,5752,0.089186712802212742
1,1.5,60,4,65536,5935,0.089186712802212742
1,1.5,60,5,65536,5844,0.089186712802212742
1,1.5,60,6,65536,5820,0.089186712802212742
1,1.5,60,7,65536,5883,0.089186712802212742
1,1.5,60,8,65536,5948,0.089186712802212742
1,1.5,80,1,65536,25363,0.38770435469147252
1,1.5,80,2,65536,25575,0.38770435469147252
1,1.5,80,3,65536,25428,0.38770435469147252
1,1.5,80,4,65536,25602,0.38770435469147252
1,1.5,80,5,65536,25275,0.38770435469147252
1,1.5,80,6,65536,25410,0.38770435469147252
1,1.5,80,7,65536,25437,0.38770435469147252
1,1.5,80,8,65536,25592,0.38770435469147252
1.5,1,0,1,65536,2654,0.040000000000000008
1.5,1,0,2,65536,2643,0.040000000000000008
1.5,1,0,3,65536,2594,0.040000000000000008
1.5,1,0,4,65536,2636,0.040000000000000008
1.5,1,0,5,65536,2577,0.040000000000000008
1.5,1,0,6,65536,2560,0.040000000000000008
1.5,1,0,7,65536,2626,0.040000000000000008
1.5,1,0,8,65536,2733,0.040000000000000008
1.5,1,30,1,65536,3661,0.055190167295375916
1.5,1,30,2,65536,3635,0.055190167295375916
1.5,1,30,3,65536,3533,0.055190167295375916
1.5,1,30,4,65536,3695,0.055190167295375916
1.5,1,30,5,65536,3582,0.055190167295375916
1.5,1,30,6,65536,3607,0.055190167295375916
1.5,1,30,7,65536,3636,0.055190167295375916
1.5,1,30,8,65536,3778,0.055190167295375916
1.5,1,40,1,65536,16153,0.24529120428690956
1.5,1,40,2,65536,16192,0.24529120428690956
1.5,1,40,3,65536,15990,0.24529120428690956
1.5,1,40,4,65536,16325,0.24529120428690956
1.5,1,40,5,65536,16022,0.24529120428690956
1.5,1,40,6,65536,16115,0.24529120428690956
1.5,1,40,7,65536,16144,0.24529120428690956
1.5,1,40,8,65536,16109,0.24529120428690956
1.5,1,42,1,65536,65536,1
1.5,1,42,2,65536,65536,1
1.5,1,42,3,65536,65536,1
1.5,1,42,4,65536,65536,1
1.5,1,42,5,65536,65536,1
1.5,1,42,6,65536,65536,1
1.5,1,42,7,65536,65536,1
1.5,1,42,8,65536,65536,1
1.5,1,60,1,65536,65536,1
1.5,1,60,2,65536,65536,1
1.5,1,60,3,65536,65536,1
1.5,1,60,4,65536,65536,1
1.5,1,60,5,65536,65536,1
1.5,1,60,6,65536,65536,1
1.5,1,60,7,65536,65536,1
1.5,1,60,8,65536,65536,1
1.5,1,80,1,65536,65536,1
1.5,1,80,2,65536,65536,1
1.5,1,80,3,65536,65536,1
1.5,1,80,4,65536,65536,1
1.5,1,80,5,65536,65536,1
1.5,1,80,6,65536,65536,1
1.5,1,80,7,65536,65536,1
1.5,1,80,8,65536,65536,1
