eta_i,eta_t,degrees,F,transmitted,tx,tz,snell_error
1,1.5,0,0.040000000000000008,1,-0,-1,0
1,1.5,30,0.041522625975821521,1,-0.33333333333333326,-0.94280904158206336,5.5511151231257827e-17
1,1.5,40,0.045733643318395988,1,-0.42852507312435956,-0.90352988976777204,-1.1102230246251565e-16
1,1.5,42,0.047266567249981219,1,-0.44608707090590549,-0.89498956707359989,0
1,1.5,60,0.089186712802212742,1,-0.57735026918962573,-0.81649658092772603,0
1,1.5,80,0.38770435469147252,1,-0.65653850200813868,-0.75429251314122781,0
1.5,1,0,0.040000000000000008,1,0,-1,0
1.5,1,30,0.055190167295375916,1,-0.74999999999999989,-0.66143782776614768,2.7755575615628914e-17
1.5,1,40,0.24529120428690956,1,-0.9641814145298091,-0.265243661329158,-2.2204460492503131e-16
1.5,1,42,1,0,0,0,0
1.5,1,60,1,0,0,0,0
1.5,1,80,1,0,0,0,0
